 ,  ,number
Mth,F1,0.7272727272727273
M0,%bugs,0.9444444444444444
M0,%effort,0.5246478873239437
M0,F1,0.7345461658841941
M0,%bugs,1.0
M0,%effort,0.17500000000000004
M0,F1,0.5875
M0,%bugs,1.0
M0,%effort,0.3542600896860987
M0,F1,0.6771300448430493
M0,%bugs,0.8571428571428571
M0,%effort,0.5631067961165048
M0,F1,0.7101248266296809
M0,%bugs,0.9583333333333334
M0,%effort,0.48275862068965514
M0,F1,0.7205459770114943
M0,%bugs,0.9705882352941176
M0,%effort,0.2720588235294118
M0,F1,0.6213235294117647
M0,%bugs,0.3333333333333333
M0,%effort,0.7692307692307692
M0,F1,0.5512820512820512
M0,%bugs,0.9
M0,%effort,0.43983402489626555
M0,F1,0.6699170124481328
M0,%bugs,1.0
M0,%effort,0.16806722689075626
M0,F1,0.5840336134453781
M0,%bugs,0.9166666666666666
M0,%effort,0.3389830508474576
M0,F1,0.6278248587570621
M0,%bugs,0.6470588235294118
M0,%effort,0.6218487394957983
M0,F1,0.634453781512605
M0,%bugs,0.8823529411764706
M0,%effort,0.4267515923566879
M0,F1,0.6545522667665793
M0,%bugs,0.7857142857142857
M0,%effort,0.599406528189911
M0,F1,0.6925604069520983
M0,%bugs,0.8888888888888888
M0,%effort,0.5434782608695652
M0,F1,0.716183574879227
M0,%bugs,0.4
M0,%effort,0.7652173913043478
M0,F1,0.5826086956521739
M0,%bugs,0.875
M0,%effort,0.5030674846625767
M0,F1,0.6890337423312883
M0,%bugs,0.9375
M0,%effort,0.46153846153846156
M0,F1,0.6995192307692308
M0,%bugs,0.90625
M0,%effort,0.36900369003690037
M0,F1,0.6376268450184501
M0,%bugs,0.5
M0,%effort,0.6869565217391305
M0,F1,0.5934782608695652
M0,%bugs,0.9473684210526315
M0,%effort,0.47058823529411764
M0,F1,0.7089783281733746
M0,%bugs,1.0
M0,%effort,0.36170212765957444
M0,F1,0.6808510638297872
M0,%bugs,0.875
M0,%effort,0.5927601809954751
M0,F1,0.7338800904977376
M0,%bugs,1.0
M0,%effort,0.2962962962962963
M0,F1,0.6481481481481481
M0,%bugs,0.9166666666666666
M0,%effort,0.413953488372093
M0,F1,0.6653100775193799
M0,%bugs,0.782608695652174
M0,%effort,0.5317919075144508
M0,F1,0.6572003015833123
M0,%bugs,0.9444444444444444
M0,%effort,0.4461538461538461
M0,F1,0.6952991452991453
M0,%bugs,0.8333333333333334
M0,%effort,0.2913385826771654
M0,F1,0.5623359580052494
M0,%bugs,1.0
M0,%effort,0.3612903225806452
M0,F1,0.6806451612903226
M0,%bugs,0.45161290322580644
M0,%effort,0.7857142857142857
M0,F1,0.618663594470046
M0,%bugs,1.0
M0,%effort,0.18181818181818177
M0,F1,0.5909090909090908
M0,%bugs,0.9705882352941176
M0,%effort,0.28
M0,F1,0.6252941176470588
M0,%bugs,0.926829268292683
M0,%effort,0.4036144578313253
M0,F1,0.6652218630620041
M0,%bugs,0.8846153846153846
M0,%effort,0.3709677419354839
M0,F1,0.6277915632754343
M0,%bugs,0.8260869565217391
M0,%effort,0.6086956521739131
M0,F1,0.7173913043478262
M0,%bugs,0.696969696969697
M0,%effort,0.7086330935251799
M0,F1,0.7028013952474385
M0,%bugs,1.0
M0,%effort,0.259493670886076
M0,F1,0.629746835443038
M0,%bugs,0.8064516129032258
M0,%effort,0.6
M0,F1,0.7032258064516128
M0,%bugs,0.8431372549019608
M0,%effort,0.5849514563106797
M0,F1,0.7140443556063203
M0,%bugs,0.30434782608695654
M0,%effort,0.8
M0,F1,0.5521739130434783
M0,%bugs,0.9
M0,%effort,0.5030674846625767
M0,F1,0.7015337423312884
M0,%bugs,0.9142857142857143
M0,%effort,0.5246478873239437
M0,F1,0.719466800804829
M0,%bugs,0.8125
M0,%effort,0.49193548387096775
M0,F1,0.6522177419354839
M0,%bugs,0.9047619047619048
M0,%effort,0.3355704697986577
M0,F1,0.6201661872802813
M0,%bugs,0.9411764705882353
M0,%effort,0.34827586206896555
M0,F1,0.6447261663286004
M0,%bugs,0.717948717948718
M0,%effort,0.7
M0,F1,0.7089743589743589
M0,%bugs,1.0
M0,%effort,0.13772455089820357
M0,F1,0.5688622754491017
M0,%bugs,1.0
M0,%effort,0.3076923076923077
M0,F1,0.6538461538461539
M0,%bugs,0.8787878787878788
M0,%effort,0.5018450184501845
M0,F1,0.6903164486190316
M0,%bugs,1.0
M0,%effort,0.2016129032258065
M0,F1,0.6008064516129032
M0,%bugs,1.0
M0,%effort,0.259493670886076
M0,F1,0.629746835443038
M0,%bugs,0.7714285714285715
M0,%effort,0.6574394463667821
M0,F1,0.7144340088976768
M0,%bugs,0.96
M0,%effort,0.45833333333333337
M0,F1,0.7091666666666667
M0,%bugs,0.926829268292683
M0,%effort,0.4818181818181818
M0,F1,0.7043237250554324
M0,%bugs,1.0
M0,%effort,0.16279069767441856
M0,F1,0.5813953488372092
M0,%bugs,0.6666666666666666
M0,%effort,0.7631578947368421
M0,F1,0.7149122807017544
M0,%bugs,1.0
M0,%effort,0.4037854889589906
M0,F1,0.7018927444794953
M0,%bugs,0.9354838709677419
M0,%effort,0.4847328244274809
M0,F1,0.7101083476976113
M0,%bugs,1.0
M0,%effort,0.38235294117647056
M0,F1,0.6911764705882353
M0,%bugs,0.75
M0,%effort,0.6644067796610169
M0,F1,0.7072033898305085
M0,%bugs,0.8620689655172413
M0,%effort,0.6369426751592357
M0,F1,0.7495058203382385
M0,%bugs,0.7708333333333334
M0,%effort,0.6643356643356644
M0,F1,0.7175844988344988
M0,%bugs,0.7407407407407407
M0,%effort,0.7291666666666667
M0,F1,0.7349537037037037
M0,%bugs,0.7192982456140351
M0,%effort,0.7667386609071274
M0,F1,0.7430184532605812
M0,%bugs,1.0
M0,%effort,0.28712871287128716
M0,F1,0.6435643564356436
M0,%bugs,1.0
M0,%effort,0.2702702702702703
M0,F1,0.6351351351351351
M0,%bugs,0.86
M0,%effort,0.6435643564356436
M0,F1,0.7517821782178218
M0,%bugs,0.8627450980392157
M0,%effort,0.6105769230769231
M0,F1,0.7366610105580694
M0,%bugs,0.30952380952380953
M0,%effort,0.9203539823008849
M0,F1,0.6149388959123472
M0,%bugs,0.30952380952380953
M0,%effort,0.9203539823008849
M0,F1,0.6149388959123472
M0,%bugs,0.9411764705882353
M0,%effort,0.4593639575971732
